,tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
0,CHALLENGER,Xr0WKrSawcbaCHa7rm7Yx_wvINkRBmskIeLMueFV0FLHMg,내현자타임,677,550,528,False,False,True,False
1,CHALLENGER,1n2y4L6r2e9Omp9ohJbadsPMqoQHpIWvQt1V5ELrfESjVHg,SANDBOX Muru,659,596,484,False,False,False,False
2,CHALLENGER,2vyPu06pcrBU9ZE1aRuiVcq4Ulq2COG_Q23jiY3VN5s0qjM,주먹밥쿵야1,947,193,141,True,False,False,False
3,CHALLENGER,k08zGdvZ8S5atwPHDHSAr0h3o0zs-xTwHudoqRNh8271H64,깡충깡충껑충껑충,665,238,179,False,False,True,False
4,CHALLENGER,P7kqtavn1lsXrsOAP8pobwMUoxp3P31ZAhr1mBG-sn8i7DQ,EZ 4 ENCE ENCE,1009,766,726,False,False,False,False
5,CHALLENGER,HiVDLPeMIeJWdu1AqJxdZ6oJh9YaCv01W64nDpaXhZJqX9k,T1 Roamer,878,969,921,False,False,False,True
6,CHALLENGER,xiUMUWo_BESy6xp_uPbrSXXGpdZGwg4H85fGe7GGRUy4Tq8,나는 준일허다,662,656,600,True,False,False,False
7,CHALLENGER,XLuPsmib6gr9czemUw0EfTV67xkCxw_QjNXzVYY_QIgxtz8,makabakar,734,775,732,False,False,True,True
8,CHALLENGER,XpQXjJXagLlJYgoTi4nEClkSgueWAAwcjJT1mdnY8XmhtFA,xbfzcgbbmls,931,542,492,False,False,True,False
9,CHALLENGER,JDcDSqnkROUUAmhR-KiCSuXvY11WjVFyg5znlqrrCsS8IKi4,개똥벌레a,1351,163,87,False,False,False,True
10,CHALLENGER,Rvo0-NRsDasxtffM7zrXeq6_GzjFOISbtF4Tl4LMlcgh8X4,HYSE1275,738,448,411,False,False,False,False
11,CHALLENGER,gN_-597Gjugo8UxBXoVR7OvJoU6U3Fizz8eZ0dyg_sq69AY,5Kld,857,159,103,False,False,False,False
12,CHALLENGER,bUmDVe-G-xxoMajhk_D4iPNJrm4IoNkUirQfzD0Ew-sRAA0,아진짜너무졸려,724,188,144,False,False,False,False
13,CHALLENGER,3ClPL8LqlLM4vul8Wx2ZWAu3y0lIYfa4Tj4c0BsLkr84w38,교육잘받은도구,735,350,299,False,False,False,False
14,CHALLENGER,XBACwQ2E-g-xiSA4FY4rqfFIq5uXlIAxIH85qgTwYb5lqPo,jkjkjkjkk,707,434,389,True,False,False,True
15,CHALLENGER,4AS6ITtrspkX2FrBURsidI6LRjGQnSBPGIhRVWJBFaYr4BQ,Destiny,1170,188,178,True,False,False,False
16,CHALLENGER,sOHNyix7qo-rjTdybRPb89vsCxqEOwW_1vocPFR5uZ9B3Wo,KENSHIN1,690,278,235,False,False,True,True
17,CHALLENGER,6bnO1G2VKhVtb5123Q3MKX9AFCGClq6kmS0tyXWta_WetQ,소나잔나,1365,192,120,True,False,False,True
18,CHALLENGER,GO3B9cYy_NMPL8M6FF_jM3zvqrBlsT0JXIBVjwAqD1BELgE,lIIIllIlIIlIlIll,907,154,101,True,False,False,True
19,CHALLENGER,KLuNodYt9P90pSN-ReZ9k3B473cBwQIy5mYXVTWmXZ3PCAE,오뚜기3분미트볼,1112,200,139,False,False,False,False
20,CHALLENGER,dlmx0n2Pe9Sc_ySwcA7qBvVrnJNdlIgO-rUHrkp_4jAd--A,quaddd,919,220,169,False,False,False,False
