,tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
0,GRANDMASTER,h2KTAIj2qPE209kDRkkZMicoVpxCTz5fvjkBdROhLp4EpiY,awdqaaaaq,627,753,718,False,False,True,False
1,GRANDMASTER,FApFheTaoePXDEJ-Rk4PGuEhIxJcfY-Lu35tDD48p1OtW7U,내 플레이에 집중,324,377,355,False,False,True,True
2,GRANDMASTER,CbZI4uT1X_kekE2YNycV6L2OYfXMzPETcpwSiIkikYQJc8s,liuyanyi,275,643,623,False,False,True,False
3,GRANDMASTER,k9aulE5IYD8ES0exNNekbHhuPfTReyxihSHMeKOp17-Agc4,깨기 싫은 꿈,593,210,175,False,False,False,False
4,GRANDMASTER,_qnwFKSoA1n1wHki49D0ti24vrPF7cfwoRyOPXteqyKprHY,99River,580,220,187,False,False,True,False
5,GRANDMASTER,_w5l7pXIIM3lRjAzMjJzoDwzV-WmlkkLq_QxvNMRmFP4ELA,Tks Bengi,417,388,360,False,False,False,False
6,GRANDMASTER,ctzwkfosp2eRR4piUtVGWEKtnauqkItBYwEWrtvJY4hUeao,덮밥9,408,735,712,False,False,False,False
7,GRANDMASTER,FuMD9zqAuacmicZeQtD9F3wPSZcBcz7DXjgLyUNnhMm5IpY,srysrysrysrysrys,482,492,454,True,False,False,False
8,GRANDMASTER,k00M6mvndPC183Rp8LqkcreZt0Yd9ExPVG7r3471gWjYuVo,hyckrrwzsn,633,957,918,True,False,False,False
9,GRANDMASTER,IddDJEnwV1s-Y3xomteef_ymyPq5KajKqRt0pRhjELamMw,기도메타올라프,304,262,239,False,False,True,True
10,GRANDMASTER,dp1iyIbMbKhln60rYj9ssk_1-5rZTkRWWHvK3keGHcoPClI,A2 c1msu6,332,443,398,False,False,True,False
11,GRANDMASTER,Gta8z4BqYHtbUNlt-oX0-I4PVtJif4dCpjNfl7UR0SKkZNM,징징이는징징징징,401,616,584,True,False,False,True
12,GRANDMASTER,akRTw-pT4QiTAdMh9ZbvlGiqpsf9AnFqGZ1Pc9h_1FTP24k,BIank Space,570,474,452,False,False,True,True
13,GRANDMASTER,oAO8bCl8x2dHMHdf-QUcwbemkesEEgHsem_4LWxpNHk99Q,10월 토끼,361,94,57,False,False,False,False
14,GRANDMASTER,UiF8LO8lIhpl2rHHaerU1zf_TWxIJdMSB8-CWMPmeQfsJvo,ZOEKlNG,535,101,66,False,False,False,False
15,GRANDMASTER,ja52sHUj2enXLBKnT1-rZtdyt72931yMuIQZEilXSRLxwuY,Bj무루무루,376,286,253,False,False,False,False
16,GRANDMASTER,YxBRMEazFsiFKoZWZva7uZ2EL4Oemd86PV_odgHYhY6-R08,충대20응생김연욱,334,569,546,False,False,False,False
17,GRANDMASTER,O-ucNcHcuIxxVVeXKAatL1Uye3AFZzYvsfom7_JNw2idrR4,MCX Bruce,550,670,633,False,False,False,False
18,GRANDMASTER,R-l23yduQjc3ShIwDBwz_ruN88mzNkGSvunBOrqagBT78lA,KDM HIPO,391,420,368,False,False,False,False
19,GRANDMASTER,gLBmVrakF0UI3DttGbjmn5nGG1-X66aK--cadMuACcpWyOs,하하나야,497,336,301,False,False,False,False
20,GRANDMASTER,OdKSvfDtlGFObyYLu4D-HDIvzrEJoVL9oowyXHG0HRvDL88,nice puppy,605,330,293,False,False,True,True
21,GRANDMASTER,ULZ-k5Jgk1Af1NdZohDIehhmEvHsYMMdLj4mPPA7Wr-56Gg,네버rland,403,598,564,True,False,False,False
22,GRANDMASTER,FazlsxME7P2piXboHpq6VnyDNQ2nam7FYF8tLmxfXG4C0w,JongSeop Eun,468,243,206,False,False,True,False
23,GRANDMASTER,SlV4vOPnHGv-Q6PgJGA24QxtuGNCxfnDl0GTmkJ4fSBXfKQ,PREE,380,231,201,False,False,True,False
