tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
GRANDMASTER,h4W-lj6-4EJXTJNI4zKzBsvaxaN0KOA85RquXae1Gs73V2E,승지부기,628,118,88,False,False,True,False
GRANDMASTER,jEvSiW3pwibSfg-seb6EaqXF0nrBdeJcXCk2IW4G_Z7FBKo,승용e,295,511,486,False,False,True,False
GRANDMASTER,py9MQwYNDTrI2wQs9adIh08wmRnW_ZnkK5-PySRfWXc__xA,yuanyouhui,329,712,616,False,False,True,False
GRANDMASTER,hOaPWHGGYhgzS0TXi7L45sonbTx0tYM0y51x_l32H3fW55Y,dasimababy,512,526,452,False,False,True,True
GRANDMASTER,ItjzIgS8Q_pwX7u9EWOgg2UhnffzQir82fWa9PaWDW92Sus,HOR0,359,283,234,False,False,False,False
GRANDMASTER,0ZYEuv3uTVru0NdCc61AULDEYmpNyMadYEdXQAmglJSQLGw,Wyvern,375,299,279,False,False,True,False
GRANDMASTER,K6JOz646s1m9VfEKAWF03GUS_3YGU8XZunryTBiOipM7RQ,엉민이에오,364,574,529,False,False,False,False
GRANDMASTER,HsGjMrdhfjExoe8-4bO2cSgbytfL_i-Rc6-We_vZ6Mryefs,shangdan lihai,608,396,351,False,False,False,True
GRANDMASTER,iK5eFtajlc_Zk0ByoV4Fk0VqgpwMQ5Z2fUZIWtL0P9PZgA,압도적인,579,145,134,False,False,False,True
GRANDMASTER,y1pUJJPd79SaIFKFQfA07eud1-CZRi2q3SwV8mb1AzkoNCg,쪼꼬맹이 딸기,404,341,314,False,False,False,False
GRANDMASTER,vpH-Mgq2VAJQX8Xd8Tg4X6diVeLf5NNwznNaf8t04NdyS9M,카루이나,323,271,245,False,False,False,False
GRANDMASTER,WPkI0TABOrXn9aikrTKwpy-MF4Sm2eoVK05CV2kTmsMztPk,맛있는콜라맛젤리,339,845,855,False,False,True,False
GRANDMASTER,iggWuN4uZ_tObntdKSxYb_rqOAuIghUksqOiRJfZxqsGDHg,xinnian0,348,247,187,False,False,True,True
GRANDMASTER,A1zt52FVOmSG065JGwbbVINz-OnXyQexeBsWC-zuXD7MauI,iIlillisl,409,327,233,False,False,True,True
GRANDMASTER,N608ItNdMEZECBhOlaCHinKM-hTTVVpoe1GlweaWBW9yTbQ,Gen G nyx,412,1095,1103,True,False,False,True
GRANDMASTER,_sEyhlDX9bio3xx2LbDxUTBaio7Bp476QU0m8jzedNIKNQ,상단차이죄송해요,394,605,565,True,False,False,False
GRANDMASTER,wTSn9h6nLLRw53xHuN51a2CsW1rrBBt6Cuv1szUKeJkysTs,나 는 식 었 다,389,288,214,False,False,False,False
GRANDMASTER,_V_0eYuqQ007Rku0Yp5T3y4fIfeY-RVNvoy2OtWWJ7OW-QLB,모두가 잘 되기를,338,78,54,False,False,True,False
GRANDMASTER,8vnQPCuyvzhUzbY0oIBkTwVoe-n0DujKaER-A82vgFax-Wg,녹차라뗑,424,797,791,False,False,False,False
GRANDMASTER,e1-PWqlzsFF3f3YFCAiBxrtvOnhi6q5wz6fDx305ue6Ybcw,szygszn,529,713,683,False,False,False,False
GRANDMASTER,eD4AnZtWVIx_WAU3O515Cmf_tRkk2lbDgsEP1CVfRcbAyLk,vt77,362,256,232,False,False,False,False
GRANDMASTER,uX_1vfMcnd_CT15M7CsG9ymk86nFTVIan4GVWO5Mwyoru78,T1 Oner,616,941,803,False,False,True,False
GRANDMASTER,ELnnS9po79QAGEXVrSRY7mQq1lBRiyfHHeJdUazTyglBgJA,t악  마,560,715,693,True,False,False,False
GRANDMASTER,V07Fwoh3-VOygG4H0N0CDGWglvhle4Nc8yYkphqE-Cvmp1g,Marzss,333,759,691,True,False,False,False
GRANDMASTER,neJPyQOfJBkRxwZizHfZrmzTrbps8eIaIE5_zYloaFt3r2g,고아길,398,231,201,False,False,False,False
