tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
MASTER,nvmwBGlOX6Cr-KWT5INON2EE6li8ZvYwmoidqmcZ7RaPGqk,많이바쁜가,28,694,617,False,False,True,False
MASTER,5gMLsbIxGOAf0oU8l3jX9Yc0O0ZATyZRWtKKeUEFYaGIWXA,NewZhichizhe,10,164,87,False,False,False,True
MASTER,EW0Lwx7V7vnIf5fbYaXqfYMO1NwCSr07uwQLnBLv3BQqavE,The Mao,214,562,543,True,False,False,False
MASTER,IWGueIAAOHil5LWAFrbzgHu5QVwvY9nZBVin6_EgFiTUUQ,검은머리사나이,236,197,189,False,False,False,True
MASTER,_QlIxcM1Dr24_T1N1jx_NK3WP87DfrjQFACJFzDb64g7Y2g,hangxiao,83,383,343,False,False,False,False
MASTER,_Je39WG3Ckc0sZhcUjC1RN7m4SwHQURFncr2dIGISxIL95A,Palt,0,189,156,False,False,False,False
MASTER,dfAjPeBs9h3blRAbPBd1fhB6jkIm3P48KV-JbBUq2c55RwI,proromoE,109,234,212,False,False,False,False
MASTER,IhgMbsit114OpB5avAQLsvkhaqK7j-1m6OPewQ0CVev9xQ,SD긴담캡슐파이,109,781,772,True,False,False,False
MASTER,wH8uoyctosR4km1bcwP9ZKtIukLYWvUo3B-7Han4ltofuBI,봄사과체리망고,0,341,330,False,False,True,False
MASTER,m17qBtz8pUgLpdVVbOJrdV9Gm88ec1LuAiM5mYvR8UkZr3Q,당근파는남자,64,152,122,False,False,False,False
MASTER,qnjzJNdPB8HiW1ZKa4u3nCA-7ql_MxBobBNt4ytaEpZYTg,프로즌 K,93,147,126,False,False,False,True
MASTER,8F4-RGfIh4iAHTnyPuw9l23GdKosio4uf0MkebzudMWRv9I,bu yao fan qie,252,130,95,False,False,False,False
MASTER,_EajeY7LFH5fvOWHbCMepOJ0VB6eexvp3_MKLk6ajTjQbQ,핑채팅다차단박음,273,933,916,True,False,False,False
MASTER,YwYOXQQkcicm7d9iovdMGe11pqTLDS6zVRqZ7ToHvWiziZk,이기는싸움안망침,68,186,164,False,False,False,False
MASTER,YNZqsDJn181T1uStx2lXyjKFJM6xeIh3SVFcyuLwTzhhceM,집사님잘좀해봐요,31,160,131,False,False,False,False
