tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
CHALLENGER,52kPrO-1DYHOIQpQKRD3Yi8TZFUXxKBxFeUDHMGixFkb17M,Miunaovo,840,396,349,False,False,False,False
CHALLENGER,2Uq_aOfyog5mFsqwOdTv7HqoURCY05wkWoSwHIaO5DLVmM0,owoowoowoowoowo,1306,293,139,True,False,False,False
CHALLENGER,jkt3wtT6fu1UQPB2OwAwm93r2m5Cj1-Cd28PnOOf904LCA,탑나라 룰루공주,646,267,210,False,False,True,False
CHALLENGER,-m9r-L6GdsXeExJDp_l-1OqHsMsLrSyeKTg7kKFP_THrCQ,SRY THX GG,670,342,294,False,False,True,False
CHALLENGER,1rAlQB2tKFv5zrrz3zIosHIOhWG9-XQ3jN40YgkCoE7nIA,arrowIoI,1024,556,493,True,False,False,False
CHALLENGER,EK8ghviV5zc9Ae5im-5kAZN6dcgtyTat6daz1J3Xvr2Z1XY,MooJin777,674,422,394,False,False,True,True
CHALLENGER,XtPAjONZpo_EyBAkJGele74myMKh01mJTLPjOrOTrqaxJ9s,사람이름이윤용호,1147,296,184,True,False,False,False
CHALLENGER,TcygGU49XAAalLpgGqSkb4BGIQ1nhqb_0H9rcTPadgWBUWY,py188,1112,202,125,False,False,False,False
CHALLENGER,jt3Z517GQi9IAy3HCWgEufEyIG0Tl96JzqQlf_HzbphUbQ,Hide on bush,915,376,334,True,False,False,True
CHALLENGER,nCj9G89XsIRjERusWc1sJ3QFjYoZfA_9PYO6DF9h20JZi7A,Dread00,1033,211,145,False,False,False,True
CHALLENGER,EpWK_D6XZzD3nMKCocXls0vIlz9Xwe6iEh5in7UVYV1EKZk,Gen G Clid,696,429,376,False,False,True,False
CHALLENGER,LasEE31-SqbXQS0ehwONHyUbUIvqEwnDU6n5BGJAZqoxyA,훙쌍리,807,251,174,False,False,False,False
CHALLENGER,NSrAOAUY-DAgBjlNBkPCV43pcEOahaJ99l4dufF7mPlrY7g,showmakerzzz,1307,203,126,True,False,False,False
CHALLENGER,EbF_eOLXMwB3xh0nblGRVFZNXDdZHW64Q_QWoAUqVo8vOtA,hapy day,648,361,319,False,False,True,False
CHALLENGER,qznVI689Gf2ohavlHtgaWgb9EYVoa-aTh_R9Gc05V_fjxoY,URGOLD,660,292,225,False,False,True,False
CHALLENGER,Hwz5Ldri8cTvwAX1Ds5sqpdBzyxM2smLCWLFUCD9zpcSqeI,Sangchu,697,224,208,False,False,False,True
CHALLENGER,4OQNh07ZB-6Z66UTCoEroDl9qRTCIWAuNVzorNtifInF6To,마스크 챙기자,861,471,424,False,False,False,False
CHALLENGER,o2m3_VMNH1dG8d_2E-KjWD7Lx-eiW_QNfJK88yxbZ6yg918,jeoniksu,728,368,328,False,False,True,False
CHALLENGER,K2vEz6unb1ifkbf8ARK3CH-vqyZ1QI4Vx62mq9vFZ5CyS8E,쭌 베 fan,692,650,625,False,False,False,False
CHALLENGER,JC-1gUobQys1pMnX8Mv7gtLKF0AgXJ4L597APZPsNSGGZXE,Brush Eye,671,456,421,False,False,True,False
CHALLENGER,5aELVIzoiRo9zkO0lRUVkF_gLpqlNrbDV0xUTUOPWDW29Bg,전독시정주행,770,263,217,False,False,False,False
CHALLENGER,qNx1BC2IhfixhrMB0MMKihx_ZrMHRX9e4vCb3ZmvkCWyzAc,DYN Kuzan1,1003,451,401,False,False,False,True
CHALLENGER,ymn08jXhD5iC9vT72v4P_mjqrkqTx1Vk0SOxGyNbuyd1bww,SANDBOX OnFleek,798,404,371,True,False,False,False
CHALLENGER,Tb4U-ybc9BZm-M9WWCv7t3sxZrpWrsrebWtHeiaLHKUqt5A,Jad1,666,397,348,False,False,False,False
CHALLENGER,3fwAzPF7p4ULw2Ob0Oj3CecFNdjwvI_8rWNN8YJOpz8X1HE,SANDBOX Kabbie,887,414,371,True,False,False,False
CHALLENGER,QiiRRT0JLjTKnqL2c9isg3PWlC5-r-q6Q2s93jgoYYCi2x8,마휘핑의크림치즈,824,560,510,False,False,False,True
CHALLENGER,YtzvmyL_kT5zoz9v0UnzsY5ycDXu-QO9JThi1CL3Syd1Veg,xasfsdwqewq,926,190,137,False,False,False,False
CHALLENGER,iIGAf6twASUZMlnSQNjfqs7VL2bkbGZKTZ9jdrr_dB31su8,주먹밥쿵야l,714,208,170,False,False,False,False
CHALLENGER,AKszThAigEkg-tIrYlH3rIUb1HFqHmeIGii5CJFCSZ2zTmM,FPXzhaoUP4506303,1004,241,123,False,False,False,True
CHALLENGER,KjKpUF0zyYdn0qFwYgdn8L8LD2GNX-0EglnQAPkDydpLTnk,T1 Kuri,1084,748,691,True,False,False,False
CHALLENGER,_fiBJYQ6WLUdMGgNlxp499AM_oQOm5kjIoC8jdMN-kUDNBc,OZ ian,658,328,274,False,False,True,False
CHALLENGER,IRiQFFOWLVwBki7YVZrWuQ8sTtYyw4RNIUtPF0daNyHfkdc,랭겜에강한남자,798,366,310,False,False,False,False
CHALLENGER,j3le-rnOLdf6Sk6AUDABuEnJ8sYzmdTvoY0cNxh4ufIZtQ,Axiyo,812,164,164,True,False,False,False
CHALLENGER,ETSgDngQ8RWzLhoCEthSKRgK4tx63WwYw2e4XKEWzmKbyLU,간다라쿤다,710,739,682,False,False,True,False
CHALLENGER,T2dv5RTofur6GlibzSNRKzpND--IspxT1e4DkS-x8tnz-pY,이도류,886,517,468,True,False,False,False
CHALLENGER,OtzrXnVUMlqg69eD4DOnyx1v1JCkQshXV9OStwGb0CuYdDs,피즈 조이,803,272,221,False,False,False,True
CHALLENGER,rX4W0j1WOgIbmEr1MIXnfMNkKlxWc5YpSheLsdf4gN7kwA,wsfw,682,416,380,False,False,True,False
CHALLENGER,3-IrNf-EhNILVMpIPnkpDl9FvHmqB4HhrQ-6trpKpwS4woM,NO BB TOP KING,658,371,327,True,False,False,False
CHALLENGER,MFm2cI8wguYhF5dHPoeMle6GrnXouMDWz-4wnEERCkSByAk,연패 후 연승,677,433,347,False,False,False,False
CHALLENGER,6VW9yRfIrKOjgVivkjtlvnst-JuHvuWvJr8cpAXaCSfyyrU,메이훙후이,690,380,337,False,False,True,False
CHALLENGER,D8EVwApCHoJztS-BI4hmLXnNzACawNbxV9oQ8MACRavpZn8,KkOma21,666,203,166,False,False,True,False
CHALLENGER,e2rPHjTpPl2Jpa0-ZZgPDCHoVYZ5sGfnUwvnLDSITO1gBIs,fabaju,674,653,633,False,False,False,False
CHALLENGER,6tU_ZoR6G35nxghbdcgTV6FCzeHvny4xs0YlyuN5Cb1zwS8,d0 myself ,799,826,775,False,False,True,False
CHALLENGER,pAlEiAbv4hRHP3EpNRpX83XlYPiMqmPW9guIeR_qLlF1sJ0,OZ Juhan,702,667,623,True,False,False,False
CHALLENGER,XrUN6lo00vU2Y9XkAqmF5wx47RqSMU2v4cjvdBZhsVDpfOM,KZ Quad,818,249,139,True,False,False,False
CHALLENGER,crHgr_ezBHFaCglTvJoRpbgp9JfOHWGxtB2_N9cC1-uZ2ns,곽곽보성,736,390,338,True,False,False,False
CHALLENGER,6f_yhZFVPUMzHI-9lNZ5zRgZ9MCBJRCkky0W2hD59ZTvzfw,댕청잇,869,399,349,True,False,False,False
CHALLENGER,Kb6MwOZ2QAbNozz2pfULHDNWu4fLG_-mrrX9CWviLT-iUxI,feng ji xu chui,940,311,245,True,False,False,False
CHALLENGER,B0yURJX5BA0-3FvTOt60ddu4Mqlt6v_G_hoobRa6L9MIe6Q,lonely mind,652,790,774,False,False,True,False
CHALLENGER,tDEoA3xc4sFHwdB36mzaLXH8DDhcaZMi8gHLBdi6Aj2jPEw,Gen G Focus,869,330,268,False,False,False,True
CHALLENGER,DUgjsUcQerl18QQWbrU_BlUqILjs3UFeguUgG6D91s_-I4Q,hfdidi,998,645,591,True,False,False,False
CHALLENGER,qx1Mvnz7Mh-CxcBVkNRrAYD-5bchR2wpU7Q1pQcNDFBQPO0,모두건강하게,732,318,271,False,False,False,False
CHALLENGER,Jkup3bGCdY_RredJBsNC9Dl1_3gesSoyKGu8JpQIC7975w,불다이아,721,115,114,False,False,False,False
CHALLENGER,rJwF3PtwhVh9Oh2zrmsTNjZ_ASktu3N_1PlwaQ4UOUDRhPw,tian xia wu di,828,210,165,True,False,False,True
CHALLENGER,MBTcFRLB3SlH7n8J3raIFbKfBj8Df5nMuNLWiDNZI6erEA,가진게없는사람,758,337,278,False,False,False,False
CHALLENGER,B7VBjsxolJq_J7-TSZVX7vsF5Pj9SLlNuvIdkTI8mc_mFA,MAI WAY,949,184,129,False,False,False,False
CHALLENGER,z60rKatMSBIiAzOiizAOqmSsKRLjEssLpJ0KJ9ikUdqPdqg,우울우울,647,303,265,False,False,False,False
CHALLENGER,PFKCnk-m9AjO1XJQbTcob64RNq6wSVtLdQ4HkJQqntFKWRk,Sup2020,658,360,320,False,False,True,True
CHALLENGER,qsFQ0UPBwzB9Hpje3v-GPeUe9sRxtrLwnmiU2mJfaX7xmQU,Akashi Seijuro,670,343,289,False,False,True,False
CHALLENGER,tIhehePeRISYEvvVim4KQQX6hXJLzjs4UAd-I-yKdv1oZxs,krats aira,1057,287,234,True,False,False,False
CHALLENGER,0DQqfnIb4riOfDQCTxL9294xv-8MPdSZxeVVepNNtnD_wg,CCrazy,768,452,416,False,False,False,False
CHALLENGER,0m-oHWnCzvc2QBI2FCtDIyWOQvpr-FyFserXxtHwJ0RdQu8,supupsupupsupup,891,356,299,True,False,False,False
CHALLENGER,GP5fL7SecwGmWKX7r2G9my5JzbzS2i5-vKL1TzG_oH_yEuE,손연우 사랑해,1041,244,175,False,False,False,True
CHALLENGER,S04lvpZ2JSW6Q5XSvLj7qc2VqRRWdWs21woRTX-MbiDRE7U,deokdam,1090,173,106,True,False,False,False
CHALLENGER,JssG6S5BRvWzyApg7Q1F9nJO-FxAzxyRM_lPfvXjc1ovWas,DRX Onlyl,828,543,491,False,False,False,False
CHALLENGER,gVL1qOTepMcwtkWjTa_wzJ2-HrzOMyppluDcHuh6w6x2u1s,Da Su Ke De,721,742,665,True,False,False,False
CHALLENGER,Mol6h-x84vW4DfJ9cDASshdi0sEFZWUutmKcw5B3mybgwg,T1 Roach,755,587,556,False,False,True,False
CHALLENGER,kR65osNAnWSrWUC3NesguvB-Wa84e5dsq1yA2G1sjM8PnCs,owowowowowowow,752,490,432,False,False,False,False
CHALLENGER,U63xGT4c9j0yFfMvAVVz3jLE98P8PHQtHHypZu2fhT7AfMU,JUGKlNG,1080,154,95,True,False,False,False
CHALLENGER,J7RqLrtOZk5vbxAYFJ89tlgi66OsOkmyLAGivXFFvBY3Ejg,아라가키 유이,773,299,259,True,False,False,False
CHALLENGER,BsMjmHwEGCjiY-JPowO4jriIYzmkqsEm3Ssja1PWtIzcbv8,Tangwagege,660,645,604,False,False,True,False
CHALLENGER,FYP2GnHOqvjJ20xfr4ZhLGohbSUSWctZ-39ch8g6M_u5OH4,족제비1,786,430,393,True,False,False,False
CHALLENGER,HUbDas_KTblhTUItPdviJcc-gS0UVdq5o_zI3CE4KI16hl0,EM Envyy,877,424,367,False,False,True,True
CHALLENGER,cOrt-nO0oQcPzJvp28mWJWc65uK_wk_E7FhAnLCM3QKXnzE,huntiand1,676,615,599,False,False,True,False
CHALLENGER,7IMksJqR9D0WmZIXch2kFcuDfCjSBQ9MDwsDACzf5pCJsg,SANDBOX GorillA,684,431,397,False,False,True,False
CHALLENGER,1XcaQnNIvQiz8jw_nAwMpSJ7GqlAGGdRO1SkFNqWTNYZRg0,gpdltmxm,705,538,501,False,False,False,True
CHALLENGER,yiL1RoUjNwjvhDdM-OGJYVBj6TqEeZK81NtsXNBas4cYpjs,헤 돈,693,150,97,False,False,True,True
CHALLENGER,yvNqyUjW3iPR4Bk0X4iwqGKr48nBQlaqRv8D9cKsY6Ys2DE,기붕스1,705,291,243,False,False,True,False
CHALLENGER,uTgSrv2DyEqjUls645-B2EZp9H_eEVX3Z6-_e-b4R6w3smc,corgii,835,514,423,True,False,False,False
CHALLENGER,puIm9A3GTTKE1teH-MfoCU5fR5YWdqLOW3IU2RXrZbMJno8,sdasf dfghj,651,582,571,False,False,False,False
CHALLENGER,jDdqgzCd7FmGjOtBbcQ8_NT-SifKb6wIxuE46OLHUCe-dMo,종탁이,770,766,715,False,False,True,True
CHALLENGER,uryT69njARu8dw0g2JZAp7xUNPkWZ-TLoJAxZmlC2Plufg,땅우양유튜브구독,672,532,511,False,False,True,True
CHALLENGER,VqOS9WtFN3-r8OagoxOsWKXjVWEzNC7HjITCD8lFt_p4qfA,SANDBOX Dove,839,403,369,False,False,False,True
CHALLENGER,eIopQF0m5NxiCjGtG3khrrghghvZH8i5-VlrOqt4fOPduGU,요붕스1,1208,425,341,True,False,False,True
CHALLENGER,lL6ACzX_JCi3WUsCron_8pMAtefSDzp0Rtf25UpG0DFy-v0,태기베어,828,446,394,True,False,False,False
CHALLENGER,srForz9h9dLmde2qX0-y_QKj74gDXcNFoFyGfu2aw_ODeaE,xxxxxxx1,973,367,305,False,False,False,False
CHALLENGER,XEf9Tcs40MIkfxs8tCbreH3OROS2_Ar7fAVMoikZbumASmk,챌까지 뽀삐함 ,664,188,145,False,False,False,False
CHALLENGER,roZPi7xDDnjlZ8UPnmA_h9cQasqn9bf7YQQMlrZHCkbIr8U,DRX Keria,785,453,426,False,False,False,False
CHALLENGER,PhC8CKBi-SJlPUxhh0MbNdL4YbaQzRBnR6hUIFEKCeX2kN4,황승언누나여신,663,285,217,False,False,True,True
CHALLENGER,4k95AWOOrGn3SjqI2F8mMSMKPIb8E97jGu4Mvg5zu3AYFhc,T1 Gumayusi,1221,541,465,True,False,False,True
CHALLENGER,G1WeMkIAiwLGyLCNcAMg2C12EWecBGrA540O0i3KCN6WnrU,따봉 람머스,884,429,353,True,False,False,True
CHALLENGER,-w9BASxwW4Q0n5Xv9HuHHWiWW8EvuIytEHX5daMtlamqnj8,Co24,734,501,454,False,False,False,False
CHALLENGER,ojcrXTdI6-oKW36JeIpUAvdu27UM9MBPqpg1Ajukb6HQiWM,I still remember,890,1067,958,True,False,False,False
CHALLENGER,WGPF9dh5GtI0EJL5zvAdBycY1hIeIpT2-3eWPSZZv6O9QdE,한화 영재,736,505,471,False,False,False,False
CHALLENGER,kvMS7s_EUSiX8mrUMp8O3rFUNhCg5vXKRx3JVU_iQjDANkA,Zenit,843,380,332,True,False,False,False
CHALLENGER,ZXUTdn6TIBUaBv5g3cznzbKn5vKFPeBuJNPBjjnd6dttbs0,zyzyzyzyzy,1018,383,325,True,False,False,False
CHALLENGER,tSd9KwfVLr5P11V46iyiEc87XbG02tbawVp1EI-M-cPvquY,pjtL,796,710,657,False,False,False,False
CHALLENGER,h_ygTS2HKooEFT8wi4MY5wMt6rM3zot3i3oMIopunc6dR3c,칸 나,768,465,423,True,False,False,True
CHALLENGER,zUAU9EpVNrZACxpjcac0WZ_BOy1K0bUCaPhteeTTiRWD4IY,huya 22785400,646,223,145,False,False,True,False
CHALLENGER,qLCsJRPlrh9zeng3WfCOoisVgf1_aU9P-IDWTAEvl1Mw2tc, Qu1et game,713,712,649,False,False,True,False
CHALLENGER,qBMi-HyVDDDuoVK-ubrl2NEitBQjmhRH8yRAKbwuwMfF7gU,AdadeHuanggou,785,570,459,False,False,False,False
CHALLENGER,uqxEEn9Di73ZvEazNPEs4rfYv-soIGZ3GLcUh212WbH6CZo,Babe G,1054,251,164,True,False,False,True
CHALLENGER,LAlVwQ_sE5Gu50zYuNvRhtvCXarqqfnba5p0-nDbDGavm-I,Mango Fish,1023,464,351,True,False,False,False
CHALLENGER,29ukujHjNk9aVwtXTuLChC2nnIFMmgUGlKVZ-5tdn0oKhd0,전지적테디시점,706,324,301,False,False,False,False
CHALLENGER,Y_NsW2iPb-TpIH5OOoOXbcznOsY1ddNcxQmy5DGhKE15og,군밤갓,758,183,142,True,False,False,False
CHALLENGER,bks1PUgsL0tkzNFp8XRRyB6HV1DBDroCxZT-XBYNOyldwif3,개똥벌레a,1329,161,87,False,False,False,True
CHALLENGER,TM6dq_CLnZBejZtqAVecntfGuM3xpZDnil5rhFAleQmLNWk,T1 BurdoI,1584,280,231,True,False,False,True
CHALLENGER,3yM8m6hG9LGAVxx6ST4WoJqb0JqkLJ0dpDihNtvK7HkvxLA,qewsdaxfv,773,236,198,False,False,False,False
CHALLENGER,M95eiIghHMutHQNwgD2Hzye-wDKW7NkUPR-vqAaKDdd2fOU,발이 저리다,1404,143,75,True,False,False,False
CHALLENGER,fr9ZfzwwQkC96PcwV1gmfBk3RtfqW6Hf4EEvu28eD1ZNBs4,xiao hong mao,757,555,404,False,False,False,False
CHALLENGER,v1aVpf5jPVWt6bhNqTbEvWj4uMeKtrqKT92ov3iAQuu9R5A,진정한 쾌락,939,677,624,True,False,False,False
CHALLENGER,gCItWaPypwySZGuxyOB0R_GJe74LY_3FJbTNlT6C68DhtYM,HLE Viper,1154,368,302,True,False,False,False
CHALLENGER,d7Sn5WTgOzk52SzEspOIUsTOXiPhCP-Hw9GPFFDcnkNuIOQ,TwitchTV 김망치,729,236,198,False,False,False,True
CHALLENGER,vt2Ro8AgWbUr-UqqzMQiHBF14p8ghlTzNvLbdvlLJIYXgAo,wohennangu0,1269,548,467,True,False,False,False
CHALLENGER,XCF5IHIFQ5bTk_YfNHdNUoxgNCkpG88Jt4HnVWYyKdW_CQ,Yaw nuY,673,234,189,False,False,False,False
CHALLENGER,2MSYWxBPJn_S_fZ9xtInDw8PLyfFJEIwnmYg45AjmxZpSA,sheng huo bu yi,808,358,312,False,False,False,False
CHALLENGER,93JJcDHjt6hr4K1gVzoqM-YxoZ6GKH0G7GA6PxXG51v7ztY,T1 Closer,774,596,552,False,False,True,True
CHALLENGER,IVLtq0gA7O2A4jwfBGmtkn7_REq1gHbIHq6Wni9WyPFEEE8,SANDBOX Ice,771,404,371,False,False,False,False
CHALLENGER,DzhJ9kE_DCyA6vR1uDdwrYd9S7Jwu2JyTcHTELrgQ4k4zT0,Twitch TV 리하우,658,281,240,False,False,True,False
CHALLENGER,sp0_q8Hgz-Ouh-0cfTt4xJXHdP98ArTbqzfZUXLFbLNb_Q,탑 혜지,672,995,954,False,False,True,True
